Словоформа,Частота_ipm,Капитализация
а,4953.2,lower
А,3683.7,upper
А-а,17.4,upper
А-а-а,6.5,upper
Абрамович,5.7,upper
абсолютно,80.8,lower
Абсолютно,7.3,upper
абсолютное,5.1,lower
абсолютной,8.9,lower
аварии,13.3,lower
аварий,5.7,lower
Август,6.0,upper
август,5.1,lower
августа,53.4,lower
августе,20.9,lower
авиакомпании,5.4,lower
авиации,26.5,lower
авиационной,6.4,lower
авиационных,5.7,lower
авиация,5.9,lower
Австралии,10.4,upper
Австрии,6.5,upper
авто,5.9,lower
автобус,20.5,lower
автобуса,10.2,lower
автобусе,12.0,lower
автобусы,5.1,lower
автомат,16.1,lower
автомата,10.8,lower
автоматизации,6.3,lower
автоматически,19.6,lower
автоматов,6.0,lower
автоматом,6.2,lower
автоматы,6.1,lower
автомобиле,9.5,lower
автомобилей,32.7,lower
автомобилем,5.2,lower
автомобили,17.5,lower
автомобиль,42.3,lower
автомобильной,5.7,lower
автомобильных,7.5,lower
автомобиля,32.1,lower
автор,70.8,lower
Автор,24.6,upper
автора,53.6,lower
авторами,7.2,lower
авторитет,15.2,lower
авторитета,5.8,lower
авторитетом,5.6,lower
авторов,30.7,lower
автором,19.0,lower
автору,12.5,lower
авторы,23.6,lower
Авторы,7.8,upper
Ага,38.1,upper
ага,6.4,lower
агент,8.0,lower
агента,6.7,lower
агентов,8.2,lower
агентств,5.4,lower
агентства,17.1,lower
агентство,11.0,lower
Аглая,9.6,upper
агрегатов,5.5,lower
агрессии,7.3,lower
ад,9.8,lower
ада,5.6,lower
Адам,5.2,upper
адаптации,8.2,lower
адвокат,12.8,lower
адвоката,11.0,lower
адвокатов,9.8,lower
адекватно,5.4,lower
административного,20.4,lower
административной,14.4,lower
административном,7.2,lower
административные,5.0,lower
административный,5.2,lower
административных,17.7,lower
администрацией,6.8,lower
администрации,58.6,lower
администрация,14.9,lower
адрес,49.6,lower
Адрес,6.1,upper
адреса,10.2,lower
адресу,17.1,lower
аж,20.9,lower
Азербайджана,5.6,upper
Азии,25.2,upper
Ай,9.0,upper
академии,24.1,lower
Академии,23.6,upper
академик,16.7,lower
академика,13.0,lower
академию,5.5,lower
аккуратно,30.6,lower
акт,25.1,lower
акта,20.8,lower
актами,8.7,lower
акте,7.0,lower
актер,21.2,lower
актера,17.3,lower
актерами,5.6,lower
актеров,22.6,lower
актером,5.9,lower
актеры,20.5,lower
активно,49.8,lower
активного,9.3,lower
активное,10.0,lower
активной,10.5,lower
активности,28.8,lower
активность,23.3,lower
активную,5.9,lower
активные,6.5,lower
активный,5.5,lower
активным,6.3,lower
активных,10.8,lower
активов,13.7,lower
активы,6.8,lower
актов,24.5,lower
актом,5.6,lower
актриса,15.5,lower
актрисой,5.3,lower
актрисы,8.0,lower
акты,12.4,lower
акцент,9.2,lower
акцентом,8.2,lower
акции,30.1,lower
акций,43.9,lower
акционерного,5.2,lower
акционеров,21.1,lower
акцию,6.6,lower
акция,7.8,lower
алгоритм,6.7,lower
алгоритма,6.1,lower
алгоритмов,5.2,lower
Александр,153.7,upper
Александра,72.4,upper
Александров,6.9,upper
Александрович,31.4,upper
Александровича,7.4,upper
Александровна,15.1,upper
Александром,12.0,upper
Александру,13.3,upper
Алексеевич,38.2,upper
Алексеевича,9.2,upper
Алексеевна,7.7,upper
Алексеем,5.0,upper
Алексей,80.7,upper
Алексею,5.3,upper
Алексея,22.7,upper
Алексий,5.6,upper
Алена,13.5,upper
Алеша,18.1,upper
Алик,15.6,upper
Алина,13.0,upper
Алиса,6.5,upper
алкоголь,5.4,lower
алкоголя,8.7,lower
Алла,20.3,upper
Алло,8.4,upper
Альберт,5.6,upper
альбом,10.8,lower
алюминия,6.4,lower
Аля,17.5,upper
амбиции,5.4,lower
Америка,17.1,upper
американец,7.6,lower
американская,9.6,lower
американские,17.9,lower
американский,22.0,lower
американским,10.0,lower
американскими,5.5,lower
американских,30.7,lower
американского,24.1,lower
американское,5.0,lower
американской,29.2,lower
американском,7.3,lower
американскую,5.4,lower
американцам,5.9,lower
американцами,5.4,lower
американцев,18.1,lower
американцы,24.6,lower
Американцы,6.9,upper
Америке,47.7,upper
Америки,32.1,upper
Америку,20.9,upper
АН,11.3,upper
Ан,7.7,upper
анализ,50.5,lower
Анализ,16.9,upper
анализа,57.6,lower
анализе,10.4,lower
анализировать,6.0,lower
анализу,8.3,lower
анализы,5.0,lower
аналитики,5.7,lower
аналогии,8.0,lower
аналогичные,5.9,lower
аналогичных,5.7,lower
аналогов,5.3,lower
Анастасия,6.6,upper
Анатолий,48.9,upper
Анатолия,15.0,upper
Анатольевич,7.2,upper
ангел,9.5,lower
Англии,30.9,upper
английские,6.2,lower
английский,21.8,lower
английским,7.0,lower
английских,8.1,lower
английского,18.7,lower
английской,9.6,lower
английском,13.1,lower
англичан,6.3,lower
англичане,8.2,lower
Англию,6.9,upper
Англия,7.8,upper
Андреев,8.7,upper
Андреева,5.4,upper
Андреевич,17.2,upper
Андреевна,24.8,upper
Андреевны,5.5,upper
Андреем,9.5,upper
Андрей,146.2,upper
Андрею,13.6,upper
Андрея,44.9,upper
Андропов,5.1,upper
Андрюха,5.5,upper
Андрюша,7.0,upper
анекдот,12.4,lower
анекдотов,5.4,lower
анекдоты,7.5,lower
Анискин,11.2,upper
Анна,66.0,upper
Анне,9.3,upper
Анной,5.8,upper
Анну,8.7,upper
Анны,16.8,upper
ансамбль,7.3,lower
ансамбля,6.0,lower
антител,14.8,lower
антитела,6.5,lower
Антон,43.5,upper
Антона,10.6,upper
Антоний,7.3,upper
Антонина,7.9,upper
Аня,25.3,upper
АО,15.9,upper
АПК,20.5,upper
аплодисменты,9.8,lower
аппарат,26.9,lower
аппарата,27.1,lower
аппарате,6.5,lower
аппаратов,8.9,lower
аппаратом,5.0,lower
аппаратуры,6.7,lower
аппараты,5.5,lower
аппетит,5.8,lower
апреле,18.2,lower
апреля,60.2,lower
Арбате,5.4,upper
арбитражного,11.1,lower
Арбитражного,5.8,upper
арбитражный,7.9,lower
арбитражных,7.6,lower
аргумент,7.3,lower
аргументы,7.5,lower
аренду,12.3,lower
аренды,10.0,lower
арене,6.0,lower
арест,11.5,lower
ареста,15.8,lower
арестовали,11.7,lower
арестован,9.6,lower
арестом,5.2,lower
Аркадий,18.2,upper
Аркадия,6.1,upper
Армении,7.8,upper
армией,8.5,lower
армии,97.0,lower
Армии,14.4,upper
армий,5.0,lower
армию,26.9,lower
армия,24.0,lower
Армия,6.2,upper
Арнольд,5.9,upper
аромат,10.3,lower
Артем,12.2,upper
артиллерии,6.6,lower
артист,22.6,lower
артиста,14.6,lower
артистов,18.2,lower
артистом,5.5,lower
артисты,18.0,lower
Артур,13.1,upper
архив,8.1,lower
архива,5.2,lower
архиве,5.9,lower
архитектор,8.0,lower
архитектора,6.9,lower
архитекторов,5.6,lower
архитектура,5.7,lower
архитектуре,6.3,lower
архитектуры,15.0,lower
аспект,7.8,lower
аспекты,9.9,lower
ассортимент,6.5,lower
ассоциации,17.0,lower
Ассоциации,8.1,upper
ассоциаций,5.3,lower
асфальт,11.4,lower
асфальте,6.3,lower
Ася,7.9,upper
атака,5.1,lower
атаки,13.5,lower
атаку,11.3,lower
атмосфера,11.7,lower
атмосфере,12.2,lower
атмосферу,16.4,lower
атмосферы,9.9,lower
атомной,10.6,lower
атомных,5.1,lower
атомов,7.2,lower
аудитории,14.8,lower
аудиторию,6.5,lower
Афганистан,6.5,upper
Афганистана,5.5,upper
Афганистане,10.8,upper
